==Events==
484 BC  Dedication of the Temple of Castor and Pollux in ancient Rome
1913  Cowboy Copas, American singer-songwriter and guitarist (d. 1963)
1913    Hammond Innes, English journalist and author (d. 1998)
1913    Abraham Sutzkever, Russian poet and author (d. 2010)
1914  Akhtar Hameed Khan, Pakistani economist, scholar, and activist (d. 1999)
1915  Albert Ghiorso, American chemist and academic (d. 2010)
1915    Frankie Yankovic, American musician (d. 1998)
1915    Kashmir Singh Katoch, Indian army officer
1916  Sumner Gerard, American politician and diplomat (d. 2004)
1917  Robert Conquest, English-American historian, poet, and academic (d. 2015)
1917    Joan Roberts, American actress and singer (d. 2012)
1917    Nur Muhammad Taraki, Afghan journalist and politician (d. 1979)
1918  Bertram Brockhouse, Canadian physicist and academic, Nobel Prize in Physics|Nobel Prize laureate (d. 2003)
1918    Brenda Milner, English-Canadian neuropsychologist and academic
1919  Fritz Langanke, German lieutenant (d. 2012)
1919    Iris Murdoch, Irish-born British novelist and philosopher (d. 1999)
1921  Jack Beeson, American pianist and composer (d. 2010)
1921    Henri Colpi, Swiss-French director and screenwriter (d. 2006)
1921    Robert Bruce Merrifield, American biochemist and academic, Nobel Prize in Chemistry|Nobel Prize laureate (d. 2006)
1921    Jean Heywood, British actress
1922  Leon M. Lederman, American physicist and mathematician, Nobel Prize in Physics|Nobel Prize laureate
1922    Jean-Pierre Richard, French writer
1923  Francisco de Andrade, Portuguese sailor
1924  Jeremiah Denton, American admiral and politician (d. 2014)
1924    Marianne Bernadotte, Swedish actress and philanthropist
1925  Philip Carey, American actor (d. 2009)
1925    D. A. Pennebaker, American documentary filmmaker
1925    Evan Hultman, American politician
1925    Antony Carbone, American actor
1925    Pandel Savic, American football player (d. 2018)
1926  Driss Chraïbi, Moroccan-French journalist and author (d. 2007)
1926    Leopoldo Galtieri, Argentinian general and politician, 44th List of heads of state of Argentina|President of Argentina (d. 2003)
1926    Raymond Gosling, English physicist and academic (d. 2015)
1926    Sir John Graham, 4th Baronet, English diplomat
1927  Nan Martin, American actress (d. 2010)
1927    Carmen Zapata, American actress (d. 2014)
1927    Håkon Brusveen, Norwegian cross-country skier
1928  Carl Woese, American microbiologist and biophysicist (d. 2012)
1928    Viramachaneni Vimla Devi, Indian parliamentarian
1929  Charles Anthony (tenor)|Charles Anthony, American tenor and actor (d. 2012)
1929    Francis Bebey, Cameroonian-French guitarist (d. 2001)
1930  Jacques Derrida, Algerian-French philosopher and academic (d. 2004)
1930    Richard Garneau, Canadian journalist and sportscaster (d. 2013)
1930    Stephen Smale, American mathematician and computer scientist
1930    Einosuke Akiya, Japanese Buddhist leader
1931  Clive Cussler, American archaeologist and author
1931    Joanna Merlin, American actress and casting director
1931    Jacques-Yvan Morin, Canadian lawyer and politician, Deputy Premier of Quebec
1932  Ed Litzenberger, Canadian ice hockey player (d. 2010)
1933  Guido Crepax, Italian author and illustrator (d. 2003)
1933    M. T. Vasudevan Nair, Indian author and screenwriter
1934  Harrison Birtwistle, English composer and academic
1934    Eva Krížiková, Czech actress
1934    Risto Jarva, Finnish director and producer (d. 1977)
1935  Donn Clendenon, American baseball player and lawyer (d. 2005)
1935    Alex Karras, American football player, wrestler, and actor (d. 2012)
1935    Ken Kercheval, American actor and director
1936  George Voinovich, American lawyer and politician, 65th Governor of Ohio (d. 2016)
1937  Prabhash Joshi, Indian journalist (d. 2009)
1938  Ernie Barnes, American football player, actor, and painter (d. 2009)
1938    Carmen Callil, Australian publisher, founded Virago Press
1938    Barry Goldwater, Jr., American lawyer and politician
1939  Aníbal Cavaco Silva, Portuguese economist and politician, 19th President of the Portuguese Republic
1940  Denis Héroux, Canadian director and producer (d. 2015)
1940    Robert Winston, English surgeon, academic, and politician
1942  Vivian Malone Jones, American civil rights activist (d. 2005)
1944  Millie Jackson, American singer-songwriter
1944    Jan-Michael Vincent, American actor
1945  David Arthur Granger, Guyanese politician, 9th President of Guyana
1945    Peter Lewis (musician), American singer-songwriter and guitarist
1946  Linda Ronstadt, American singer-songwriter, producer, and actress
1946    Hassanal Bolkiah, Sultan of Brunei
1947  Peter Banks, English guitarist and songwriter (d. 2013)
1947    Lydia Davis, American short story writer, novelist, and essayist
1947    Pridiyathorn Devakula, Thai economist and politician, Ministry of Finance (Thailand)|Thai Minister of Finance
1947    Roky Erickson, American singer-songwriter and musician
1948  Twinkle (singer)|Twinkle, English singer-songwriter (d. 2015)
1948    Dimosthenis Kourtovik, Greek anthropologist and critic
1948    Artimus Pyle, American rock drummer and songwriter (Lynyrd Skynyrd)
1949  Carl Bildt, Swedish politician and diplomat, Prime Minister of Sweden
1949    Trevor Horn, English singer-songwriter, keyboard player, and producer
1949    Richard Russo, American novelist, short story writer, and screenwriter
1950  Colin Barnett, Australian economist and politician, 29th Premier of Western Australia
1950    Arianna Huffington, Greek-American journalist and publisher (''The Huffington Post'')
1951  Gregory Isaacs, Jamaican-English singer-songwriter (d. 2010)
1951    Jesse Ventura, American wrestler, actor, and politician, 38th Governor of Minnesota
1952  David Pack, American singer-songwriter, guitarist, and producer
1952    Celia Imrie, English actress
1952    Terry O'Quinn, American actor
1952    Marky Ramone, American drummer and songwriter
1952    Johnny Thunders, American singer-songwriter and guitarist (d. 1991)
1953  Jean-Bertrand Aristide, Haitian priest and politician, 49th President of Haiti
1953    Sultanah Haminah, Malaysian royal consort
1953    Mohamad Shahrum Osman, Malaysian politician
1953    Alicia Bridges, American singer-songwriter
1954  John Ferguson (rugby league)|John Ferguson, Australian rugby league player
1954    Jeff Jarvis, American journalist and blogger
1954    Giorgos Kaminis, American-Greek lawyer and politician, 78th Mayor of Athens
1954    Mario Kempes, Argentinian footballer and manager
1956  Ian Curtis, English singer-songwriter and guitarist  (Joy Division)
1956    Nicholas Harberd, British botanist, educator and academician
1956    Barry Melrose, Canadian ice hockey player, coach, and sportscaster
1956    Steve Mortimer, Australian rugby league player, coach, and administrator
1956    Joe Satriani, American singer-songwriter and guitarist
1956    Wayne Taylor, South African race car driver
1958  Gary Heale, English footballer and coach
1958    Mac Thornberry, American lawyer and politician
1959  Vincent Lindon, French actor, director, and screenwriter
1960  Kim Alexis, American fashion model
1961  Lolita Davidovich, Canadian actress
1961    Jean-Christophe Grangé, French journalist and screenwriter
1961    Forest Whitaker, American actor
1962  Nikos Filippou, Greek basketball player and manager
1962    Michelle Ford, Australian swimmer
1963  Brigitte Nielsen, Danish-Italian actress
1963  Steve Thomas (ice hockey)|Steve Thomas, English-Canadian ice hockey player and coach
1965  Alistair Carmichael, Scottish lawyer and politician, Secretary of State for Scotland
1965    Gero Miesenböck, Austrian neuroscientist and educator
1965    David Miliband, English politician, Secretary of State for Foreign and Commonwealth Affairs
1966  Jason Bonham, English singer-songwriter and drummer
1966    Irène Jacob, French-Swiss actress
1967  Adam Savage, American actor and special effects designer
1967    Elbert West, American singer-songwriter (d. 2015)
1969  Ain Tammus, Estonian footballer and coach
1970  Tarkan Gözübüyük, Turkish bass player and producer
1972  Scott Foley, American actor
1973  Brian Austin Green, American actor
1975  Cherry (wrestler)|Cherry, American wrestler and manager
1975    Danny Law, English cricketer
1975    Ben Pepper, Australian basketball player
1976  Steve Cunningham, American boxer
1976    Marco Di Vaio, Italian footballer
1976    Diane Kruger, German actress and model
1976    Gabriel Iglesias, Mexican-American comedian and voice actor
1977  André Nel, South African cricketer
1977    Lana Parrilla, American actress
1977    John St. Clair, American football player
1977  Ray Toro, American singer-songwriter and guitarist
1978  Miguel Olivo, Dominican baseball player
1979  Laura Benanti, American actress and singer
1979    Alexander Frei, Swiss footballer
1979    Edda Garðarsdóttir, Icelandic footballer
1979    Renata Kučerová, Czech tennis player
1980  Reggie Abercrombie, American baseball player
1980    Jonathan Cheechoo, Canadian ice hockey player
1980    Kelli Martin, American fashion designer
1980    Julia Perez, Indonesian singer and actress (d. 2017)
1981  Alou Diarra, French footballer
1981    Petros Klampanis, Greek bassist and composer
1981    Marius Stankevičius, Lithuanian footballer
1982  Alan Pérez, Spanish cyclist
1982    Neemia Tialata, New Zealand rugby player
1982    Aída Yéspica, Venezuelan model and actress
1983  Nelson Merlo, Brazilian race car driver
1983    Will Rudge, English cricketer
1983    Heath Slater, American wrestler
1984  Alex Boyd (photographer)|Alex Boyd, German-Scottish photographer
1984    Angelo Siniscalchi, Italian footballer
1984    Veronika Velez-Zuzulová, Slovak skier
1985  Sanjeev (actor)|Sanjeev, Tamil actor
1986  Tyler Kennedy, Canadian ice hockey player
1988  Riki Christodoulou, English racing driver
1989  Steven Jahn, German footballer
1989    Alisa Kleybanova, Russian tennis player
1989    Anthony Randolph, American basketball player
1989    Tristan Wilds, American actor, singer-songwriter and producer
1990  Olly Alexander, English singer-songwriter
1990    Alexander Calvert, Canadian actor
1990    Zach Bogosian, American ice hockey player
1990    Damian Lillard, American basketball player
1991  Danilo (footballer, born 1991)|Danilo, Brazilian footballer
1991    Derrick Favors, American basketball player
1991    Evgeny Tishchenko, Russian boxer
1992  Tobias Harris, American basketball player
1992    Hokutōfuji Daiki, Japanese sumo wrestler
1992    Wayde van Niekerk, South African sprinter
1993  Håvard Nielsen, Norwegian footballer
1994  Evan Crooks, American actor
2004  Hayden Rolence, American voice actor
2008  Iain Armitage, American child actor
756  Yang Guifei, consort of Emperor Xuanzong of Tang|Xuan Zong (b. 719)
998  Abū al-Wafā' Būzjānī, Persian mathematician and astronomer (b. 940)
1015  Vladimir the Great, Grand prince of Kievan Rus' (b. c. 958)
1274  Bonaventure, Italian bishop and saint (b. 1221)
1291  Rudolf I of Germany (b. 1218)
1299  King Eric II of Norway (b. c. 1268)
1381  John Ball (priest)|John Ball, English Lollardy|Lollard priest
1388  Agnes of Durazzo, titular Latin empress consort of Constantinople (d. 1313)
1397  Catherine of Henneberg, German ruler (b. c. 1334)
1406  William, Duke of Austria
1410  Ulrich von Jungingen, German Grand Master of the Teutonic Knights (b. 1360)
1445  Joan Beaufort, Queen of Scotland
1542 - Lisa del Giocondo, subject of Leonardo da Vinci's painting ''Mona Lisa'' (b. 1479)
1544  René of Châlon (b. 1519)
1571  Shimazu Takahisa, Japanese daimyo (b. 1514)
1609  Annibale Carracci, Italian painter and illustrator (b. 1560)
1655  Girolamo Rainaldi, Italian architect (b. 1570)
1685  James Scott, 1st Duke of Monmouth, Dutch-English general and politician, Governor of Kingston-upon-Hull (b. 1649)
1750  Vasily Tatishchev, Russian ethnographer and politician (b. 1686)
1765  Charles-André van Loo, French painter (b. 1705)
1767  Michael Bruce (poet)|Michael Bruce, Scottish poet and composer (b. 1746)
1789  Jacques Duphly, French harpsichord player and composer (b. 1715)
1828  Jean-Antoine Houdon, French sculptor (b. 1741)
1839  Winthrop Mackworth Praed, English poet and politician (b. 1802)
1844  Claude Charles Fauriel, French philologist and historian (b. 1772)
1851  Juan Felipe Ibarra, Argentinian general and politician (b. 1787)
1857  Carl Czerny, Austrian pianist and composer (b. 1791)
1858  Alexander Andreyevich Ivanov, Russian painter (b. 1806)
1883  General Tom Thumb, American circus performer (b. 1838)
1885  Rosalía de Castro, Spanish author and poet (b. 1837)
1890  Gottfried Keller, Swiss author, poet, and playwright (b. 1819)
1898  Jean-Baptiste Salpointe, French-American archbishop (d. 1825)
1904  Anton Chekhov, Russian playwright and short story writer (b. 1860)
1919  Hermann Emil Fischer, German chemist and academic, Nobel Prize in Chemistry|Nobel Prize laureate (b. 1852)
1929  Hugo von Hofmannsthal, Austrian author, poet, and playwright (b. 1874)
1930  Leopold Auer, Hungarian violinist, composer, and conductor (b. 1845)
1931  Ladislaus Bortkiewicz, Russian-German economist and mathematician (b. 1868)
1932  Cornelis Jacobus Langenhoven, South African poet and politician (b. 1873)
1933  Irving Babbitt, American scholar, critic, and academic (b. 1865)
1940  Eugen Bleuler, Swiss psychiatrist and physician (b. 1857)
1940     Robert Wadlow, American giant, 8\"11' 271 cm (b.1918)
1942  Wenceslao Vinzons, Filipino lawyer and politician (b. 1910)
1944  Marie-Victorin Kirouac, Canadian botanist and academic (b. 1885)
1946  Razor Smith, English cricketer and coach (b. 1877)
1948  John J. Pershing, American general (b. 1860)
1953  Geevarghese Mar Ivanios, Indian archbishop, founded the Order of the Imitation of Christ (b. 1882)
1957  James M. Cox, American publisher and politician, 46th Governor of Ohio (b. 1870)
1957    Vasily Maklakov, Russian lawyer and politician (b. 1869)
1959  Ernest Bloch, Swiss-American composer and academic (b. 1880)
1959    Vance Palmer, Australian author and critic (b. 1885)
1960  Set Persson, Swedish politician (b. 1897)
1960    Lawrence Tibbett, American singer and actor (b. 1896)
1965  Francis Cherry (governor)|Francis Cherry, American lawyer and politician, 35th Governor of Arkansas (b. 1908)
1966  Seyfi Arkan, Turkish architect (b. 1903)
1974  Christine Chubbuck, American journalist (b. 1944)
1976  Paul Gallico, American journalist and author (b. 1897)
1977  Donald Mackay (anti-drugs campaigner)|Donald Mackay, Australian businessman and activist (b. 1933)
1979  Gustavo Díaz Ordaz, Mexican academic and politician, 29th President of Mexico (b. 1911)
1981  Frédéric Dorion, Canadian lawyer, judge, and politician (b. 1898)
1982  Bill Justis, American saxophonist, songwriter, and producer (b. 1926)
1986  Billy Haughton, American harness racer and trainer (b. 1923)
1988  Eleanor Estes, American librarian, author, and illustrator (b. 1906)
1989  Laurie Cunningham, English footballer (b. 1956)
1990  Zaim Topčić, Yugoslav and Bosnian writer (b. 1920)
1990    Margaret Lockwood, English actress (b. 1916)
1990    Omar Abu Risha, Syrian poet and diplomat, 4th Ambassador of Syria to the United States|Syrian Ambassador to the United States (b. 1910)
1991  Bert Convy, American actor, singer, and game show host (b. 1933)
1992  Hammer DeRoburt, Nauruan educator and politician, 1st President of Nauru (b. 1922)
1992    Chingiz Mustafayev, Azerbaijani journalist and author (b. 1960)
1997  Justinas Lagunavičius, Lithuanian basketball player (b. 1924)
1997    Gianni Versace, Italian fashion designer, founded Versace (b. 1946)
1998  S. Shanmuganathan (Sri Lankan politician)|S. Shanmuganathan, Sri Lankan politician (b. 1960)
2000  Louis Quilico, Canadian opera singer and educator (b. 1925)
2001  C. Balasingham, Sri Lankan lawyer and civil servant (b. 1917)
2003  Roberto Bolaño, Chilean novelist, short-story writer, poet, and essayist (b. 1953)
2003    Elisabeth Welch, American actress and singer (b. 1904)
2006  Robert H. Brooks, American businessman, founder of Hooters and Naturally Fresh, Inc. (b. 1937)
2006    Alireza Shapour Shahbazi, Iranian archaeologist and academic (b. 1942)
2008  György Kolonics, Hungarian canoe racer (b. 1972)
2010  James E. Akins, American politician and diplomat, United States Ambassador to Saudi Arabia (b. 1926)
2011    Googie Withers, British-Australian actress (b. 1917)
2012  Boris Cebotari, Moldovan footballer (b. 1975)
2012    Tsilla Chelton, Israeli-French actress (b. 1919)
2012    Grant Feasel, American football player (b. 1960)
2012    David Fraser (British Army officer)|David Fraser, English general (b. 1920)
2012    Celeste Holm, American actress and singer (b. 1917)
2012    Yoichi Takabayashi, Japanese director and screenwriter (b. 1931)
2013  Ninos Aho, Syrian-American poet and activist (b. 1945)
2013    Henry Braden, American lawyer and politician (b. 1944)
2013    Tom Greenwell, American lawyer and judge (b. 1956)
2013    Earl Gros, American football player (b. 1940)
2013    Noël Lee, Chinese-American pianist and composer (b. 1924)
2013    Meskerem Legesse, Ethiopian runner (b. 1986)
2013    John T. Riedl, American computer scientist and academic (b. 1962)
2014  Óscar Acosta, Honduran author, poet, and diplomat (b. 1933)
2014    Saúl Lara, Spanish footballer (b. 1982)
2015  Masahiko Aoki, Japanese-American economist and academic (b. 1938)
2015    Wan Li, Chinese politician, 4th List of vice premiers of the People's Republic of China|Vice Premier of the People's Republic of China (b. 1916)
2015    Aubrey Morris, British actor (b. 1926)
2015    Dave Somerville, Canadian singer (b. 1933)
2017  Martin Landau,  American film and television actor (b. 1928)
==Holidays and observances==
Bon Festival (Kantō region, Japan)
Christian Calendar of saints|feast day:
Abhai (saint)|Abhai (Syriac Orthodox Church)
Bonaventure
Dispersion of the Apostles (No longer officially celebrated by the Catholic Church)
Donald of Ogilvy
Edith of Polesworth
Edith of Wilton
Plechelm
Quriaqos and Julietta
Swithun
Vladimir the Great (Eastern Orthodox Church|Eastern Orthodox; Catholic Church)
July 15 (Eastern Orthodox liturgics)
Earliest day on which Birthday of Don Luis Muñoz Rivera can fall, while July 21 is the latest; celebrated on the third Monday of July. (Puerto Rico)
Earliest day on which Galla Bayramy can fall, while July 21 is the latest; celebrated on the third Sunday of July. (Turkmenistan)
Earliest day on which Marine Day can fall, while July 21 is the latest; celebrated on the third Monday of July. (Japan)
Earliest day on which President's Day (Botswana) can fall, while July 21 is the latest; celebrated on the third Monday of July.
Elderly Men Day (Kiribati)
Saint Rosalia|Festival of Santa Rosalia (Palermo, Sicily)
Social Media Giving Day
Hassanal Bolkiah|Sultan's Birthday (Brunei|Brunei Darussalam)
==References==
==External links==
[http://news.bbc.co.uk/onthisday/hi/dates/stories/july/15 BBC: On This Day]
{{NYT On this day|month=07|day=15}}
[http://canadachannel.ca/todayincanadianhistory/index.php/July_15 Today in Canadian History]
